Município;neventos;popresidente;eventos1000hab;%ev/pop;txanalf;txdesemp;indpcomp;%popid(15-65);medenf;medenf/pop
Lourinhã;52;25735;2;0.002;6.6;10.9;77.8;0.65;32;0.001
Nazaré;27;15158;1.8;0.002;5.7;14.3;84.6;0.66;22;0.001
Óbidos;11;11772;0.9;0.001;7.2;10.8;78.2;0.63;10;0.001
Peniche;29;27753;1;0.001;6.1;14.5;86.3;0.65;26;0.001
Sobral de Monte Agraço;16;10156;1.6;0.002;6.3;8.8;84.1;0.65;12;0.001
Torres Vedras;125;79465;1.6;0.002;5.8;10.1;97.8;0.65;84;0.001
Águeda;70;47729;1.5;0.001;4.3;10.1;85.2;0.67;63;0.001
Albergaria-a-Velha;47;25252;1.9;0.002;4.2;10.4;80.2;0.67;35;0.001
Anadia;27;29150;0.9;0.001;5.9;9.7;76.3;0.64;53;0.002
Aveiro;193;78450;2.5;0.002;2.9;10.7;126.7;0.69;115;0.001
Estarreja;92;26997;3.4;0.003;4.2;11.8;80.1;0.65;40;0.001
Ílhavo;69;38598;1.8;0.002;3.2;12.1;89.4;0.68;55;0.001
Murtosa;34;10585;3.2;0.003;4.7;12.1;69.8;0.62;16;0.002
Oliveira do Bairro;28;23028;1.2;0.001;5.6;10.2;81.8;0.64;32;0.001
Ovar;162;55398;2.9;0.003;3.7;14.9;87.3;0.69;80;0.001
Sever do Vouga;14;12356;1.1;0.001;5.6;10;71.5;0.63;19;0.002
Vagos;38;22851;1.7;0.002;6.1;9.7;70;0.65;31;0.001
Arganil;20;12145;1.6;0.002;8;9.9;65.2;0.59;27;0.002
Cantanhede;87;36595;2.4;0.002;6.8;9;80.7;0.62;58;0.002
Coimbra;372;143396;2.6;0.003;3.6;10.1;131.7;0.67;256;0.002
Condeixa-a-Nova;36;17078;2.1;0.002;6.6;8.8;80.5;0.65;28;0.002
Figueira da Foz;144;62125;2.3;0.002;6;12.7;96.5;0.64;92;0.001
Góis;8;4260;1.9;0.002;10.3;9.6;59.3;0.55;10;0.002
Lousã;52;17604;3;0.003;3.7;11;80.1;0.66;34;0.002
Mealhada;28;20428;1.4;0.001;4.7;8.5;83.9;0.65;36;0.002
Mira;13;12465;1;0.001;6.9;11;73.6;0.62;26;0.002
Miranda do Corvo;20;13098;1.5;0.002;5.4;10;64;0.65;18;0.001
Montemor-o-Velho;66;26171;2.5;0.003;7.5;10;71.3;0.65;35;0.001
Mortágua;12;9607;1.2;0.001;7.3;8.4;69.7;0.62;15;0.002
Oliveira do Hospital;34;20855;1.6;0.002;7.3;11.4;70.1;0.62;31;0.001
Pampilhosa da Serra;3;4481;0.7;0.001;15.9;9.5;56.3;0.51;9;0.002
Penacova;17;15251;1.1;0.001;7.4;8.8;59.1;0.63;23;0.002
Penela;9;5983;1.5;0.002;8.4;10;65.7;0.58;11;0.002
Soure;14;19245;0.7;0.001;10.3;10.2;68.6;0.6;33;0.002
Tábua;42;12071;3.5;0.003;7.6;10.7;63.7;0.61;26;0.002
Vila Nova de Poiares;12;7281;1.6;0.002;5.6;9.1;68.9;0.65;15;0.002
Alvaiázere;15;7287;2.1;0.002;10.8;10.6;63.5;0.56;13;0.002
Ansião;16;13128;1.2;0.001;8.5;10.5;69.1;0.6;17;0.001
Batalha;27;15805;1.7;0.002;5.4;7.9;86.8;0.66;24;0.002
Castanheira de Pêra;9;3191;2.8;0.003;9;14.4;60.1;0.58;9;0.003
Figueiró dos Vinhos;8;6169;1.3;0.001;9.2;15.1;63.1;0.6;16;0.003
Leiria;251;126897;2;0.002;4.6;9;102.9;0.67;154;0.001
Marinha Grande;115;38681;3;0.003;4.8;11.1;95.8;0.66;50;0.001
Pedrógão Grande;7;3915;1.8;0.002;12.3;14.9;61.5;0.55;5;0.001
Pombal;112;55217;2;0.002;10.3;9.1;82;0.62;73;0.001
Porto de Mós;56;24342;2.3;0.002;5.7;9.4;79.4;0.64;30;0.001
Aguiar da Beira;4;5473;0.7;0.001;15;8.9;61.6;0.59;8;0.001
Carregal do Sal;24;9835;2.4;0.002;7.6;11.2;69;0.61;13;0.001
Castro Daire;6;15339;0.4;0;11.4;11;60.5;0.6;24;0.002
Mangualde;16;19880;0.8;0.001;6.6;13.9;80.7;0.63;28;0.001
Nelas;16;14037;1.1;0.001;5.7;12;74.2;0.62;18;0.001
Oliveira de Frades;10;10261;1;0.001;6.2;8.7;79.5;0.64;14;0.001
Penalva do Castelo;15;7956;1.9;0.002;12.1;12.4;54.5;0.59;13;0.002
Santa Comba Dão;23;11597;2;0.002;5.9;12;69.1;0.61;19;0.002
São Pedro do Sul;24;16851;1.4;0.001;9.1;11;63.9;0.61;37;0.002
Sátão;13;12444;1;0.001;10.3;12.2;59.6;0.61;18;0.001
Tondela;39;28946;1.3;0.001;6.2;10.8;69.7;0.61;20;0.001
Vila Nova de Paiva;6;5176;1.2;0.001;12.4;13.5;57.6;0.6;8;0.002
Viseu;274;99274;2.8;0.003;5.4;11.7;96.1;0.66;102;0.001
Vouzela;22;10564;2.1;0.002;6.4;9.9;61;0.6;21;0.002
Castelo Branco;95;56109;1.7;0.002;7;10.6;95.5;0.64;78;0.001
Idanha-a-Nova;15;9716;1.5;0.002;20.6;11.9;61.3;0.48;20;0.002
Oleiros;21;5721;3.7;0.004;15.7;5.1;54.8;0.54;14;0.002
Penamacor;10;5682;1.8;0.002;20.2;11;54.5;0.49;13;0.002
Proença-a-Nova;9;8314;1.1;0.001;13;9.7;64.5;0.57;15;0.002
Vila Velha de Ródão;3;3521;0.9;0.001;12.7;8.3;68.9;0.49;7;0.002
Abrantes;66;39325;1.7;0.002;6.2;13.6;86.8;0.61;44;0.001
Alcanena;10;13868;0.7;0.001;5.2;9.8;81.5;0.63;18;0.001
Constância;4;4056;1;0.001;6.4;11;87.9;0.63;8;0.002
Entroncamento;42;20206;2.1;0.002;2.6;10.5;109.8;0.66;30;0.001
Ferreira do Zêzere;15;8619;1.7;0.002;9.3;7.9;62.8;0.58;13;0.002
Mação;6;7338;0.8;0.001;11;9.5;61.7;0.52;15;0.002
Ourém;110;45932;2.4;0.002;7.1;8.5;81;0.63;51;0.001
Sardoal;3;3939;0.8;0.001;6.5;12.5;68.5;0.61;7;0.002
Sertã;17;15880;1.1;0.001;10.2;10;70.5;0.6;30;0.002
Tomar;82;40677;2;0.002;5.7;13.2;85.1;0.62;58;0.001
Torres Novas;53;36717;1.4;0.001;4.9;9.6;95;0.62;41;0.001
Vila de Rei;0;3452;0;0;11.1;8.7;58.1;0.5;8;0.002
Vila Nova da Barquinha;5;7322;0.7;0.001;5.1;9.6;71.2;0.61;10;0.001
Almeida;9;7242;1.2;0.001;8.9;10.1;74.8;0.55;16;0.002
Belmonte;21;6859;3.1;0.003;10.5;15.8;71.2;0.61;13;0.002
Celorico da Beira;16;7693;2.1;0.002;11.9;11.1;64.3;0.58;16;0.002
Covilhã;101;51797;1.9;0.002;7.3;14.3;84.6;0.64;68;0.001
Figueira de Castelo Rodrigo;11;6260;1.8;0.002;10.6;13.4;61.9;0.57;12;0.002
Fornos de Algodres;5;4989;1;0.001;10.7;14.1;57.3;0.57;15;0.003
Fundão;38;29213;1.3;0.001;10.7;14;75.1;0.61;47;0.002
Gouveia;19;14046;1.4;0.001;9.2;14.6;67.6;0.57;35;0.002
Guarda;67;42541;1.6;0.002;5.5;13.1;96.9;0.65;54;0.001
Manteigas;15;3430;4.4;0.004;8.8;14.8;61.5;0.61;10;0.003
